,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,002264.SZ,2021/12/24,5.39,5.66,5.34,5.5,5.39,0.11,2.0408,170374,93831.128
1,002264.SZ,2021/12/23,5.4,5.49,5.31,5.39,5.4,-0.01,-0.1852,89776,48412.064
2,002264.SZ,2021/12/22,5.71,5.71,5.39,5.4,5.7,-0.3,-5.2632,154753,84640.576
3,002264.SZ,2021/12/21,5.5,5.96,5.44,5.7,5.6,0.1,1.7857,206601.91,117539.132
4,002264.SZ,2021/12/20,5.5,5.63,5.42,5.6,5.54,0.06,1.083,98109.55,54190.804
5,002264.SZ,2021/12/17,5.52,5.63,5.42,5.54,5.53,0.01,0.1808,115211.13,63656.527
6,002264.SZ,2021/12/16,5.38,5.65,5.34,5.53,5.38,0.15,2.7881,173124.56,95331.715
7,002264.SZ,2021/12/15,5.48,5.54,5.34,5.38,5.48,-0.1,-1.8248,135978.89,73567.6
8,002264.SZ,2021/12/14,5.56,5.59,5.3,5.48,5.59,-0.11,-1.9678,198173.02,107280.704
9,002264.SZ,2021/12/13,5.8,5.85,5.54,5.59,5.8,-0.21,-3.6207,199808.06,113151.57
10,002264.SZ,2021/12/10,5.7,5.93,5.6,5.8,5.78,0.02,0.346,202345.04,116413.613
11,002264.SZ,2021/12/9,5.79,6.19,5.73,5.78,5.8,-0.02,-0.3448,283687.99,169029.06
12,002264.SZ,2021/12/8,5.67,5.81,5.48,5.8,5.77,0.03,0.5199,228253.51,128955.575
13,002264.SZ,2021/12/7,5.76,5.98,5.62,5.77,5.91,-0.14,-2.3689,357911.28,206460.917
14,002264.SZ,2021/12/6,5.36,5.91,5.29,5.91,5.37,0.54,10.0559,438166.45,253040.491
15,002264.SZ,2021/12/3,5.4,5.53,5.2,5.37,5.35,0.02,0.3738,222762.71,118753.104
16,002264.SZ,2021/12/2,5.58,5.75,5.32,5.35,5.58,-0.23,-4.1219,261910.86,144419.528
17,002264.SZ,2021/12/1,5.13,5.86,5.09,5.58,5.36,0.22,4.1045,499530.47,274957.587
18,002264.SZ,2021/11/30,4.88,5.36,4.7,5.36,4.87,0.49,10.0616,501619,254349.899
19,002264.SZ,2021/11/29,5.29,5.29,4.83,4.87,5.08,-0.21,-4.1339,423306.3,211485.289
