,ts_code,name,market,publisher,category,base_date,base_point,list_date
0,398001.SZ,湾创100,SZSE,深交所,主题指数,20170630,1000.0,20190409
1,398002.SZ,南山50,SZSE,深交所,主题指数,20121231,1000.0,20191231
2,398003.SZ,国证芯片,SZSE,深交所,二级行业指数,20021231,1000.0,20150217
3,399001.SZ,深证成指,SZSE,深交所,规模指数,19940720,1000.0,19950123
4,399002.SZ,深成指R,SZSE,深交所,规模指数,19940720,1000.0,19950123
5,399003.SZ,深成B指,SZSE,深交所,规模指数,19940720,1000.0,19950123
6,399004.SZ,深证100R,SZSE,深交所,规模指数,20021231,1000.0,20030102
7,399005.SZ,中小板指,SZSE,深交所,规模指数,20050607,1000.0,20060124
8,399006.SZ,创业板指,SZSE,深交所,规模指数,20100531,1000.0,20100601
9,399007.SZ,深证300,SZSE,深交所,规模指数,20041231,1000.0,20091104
10,399008.SZ,中小300,SZSE,深交所,规模指数,20100319,1000.0,20100322
11,399009.SZ,深证200,SZSE,深交所,规模指数,20041231,1000.0,20110901
12,399010.SZ,深证700,SZSE,深交所,规模指数,20041231,1000.0,20110901
13,399011.SZ,深证1000,SZSE,深交所,规模指数,20041231,1000.0,20110901
14,399012.SZ,创业300,SZSE,深交所,规模指数,20120629,1000.0,20130107
15,399013.SZ,深市精选,SZSE,深交所,主题指数,20041231,1000.0,20140530
16,399015.SZ,中小创新,SZSE,深交所,规模指数,20111230,1000.0,20150324
17,399016.SZ,深证创新,SZSE,深交所,主题指数,20121231,1000.0,20161201
18,399017.SZ,SME创新,SZSE,深交所,主题指数,20121231,1000.0,20161201
19,399018.SZ,创业创新,SZSE,深交所,主题指数,20121231,1000.0,20161201
20,399050.SZ,创新引擎,SZSE,深交所,主题指数,20121231,1000.0,20180731
21,399088.SZ,深创100,SZSE,深交所,主题指数,20121231,1000.0,20200218
22,399100.SZ,深证新综指,SZSE,深交所,综合指数,20051230,1107.23,20060216
23,399101.SZ,中小板综,SZSE,深交所,综合指数,20050607,1000.0,20051201
24,399102.SZ,创业板综,SZSE,深交所,综合指数,20100531,1000.0,20100820
25,399103.SZ,乐富指数,SZSE,深交所,其他,20041231,1000.0,20111202
26,399106.SZ,深证综指,SZSE,深交所,综合指数,19910403,100.0,19910404
27,399107.SZ,深证A指,SZSE,深交所,综合指数,19910403,100.0,19921004
28,399108.SZ,深证B指,SZSE,深交所,综合指数,19920228,100.0,19921006
29,399110.SZ,农林牧渔指数,SZSE,深交所,综合指数,19910403,100.0,20010702
30,399120.SZ,采掘业指数,SZSE,深交所,综合指数,19910403,100.0,20010702
31,399130.SZ,制造业指数,SZSE,深交所,综合指数,19910403,100.0,20010702
32,399131.SZ,食品饮料指数,SZSE,深交所,综合指数,19910403,100.0,20010702
33,399132.SZ,纺织服装指数,SZSE,深交所,综合指数,19910403,100.0,20010702
34,399133.SZ,木材家具指数,SZSE,深交所,综合指数,19910403,100.0,20010702
35,399134.SZ,造纸印刷指数,SZSE,深交所,综合指数,19910403,100.0,20010702
36,399135.SZ,石化塑胶指数,SZSE,深交所,综合指数,19910403,100.0,20010702
37,399136.SZ,电子指数,SZSE,深交所,综合指数,19910403,100.0,20010702
38,399137.SZ,金属非金属指数,SZSE,深交所,综合指数,19910403,100.0,20010702
39,399138.SZ,机械设备指数,SZSE,深交所,综合指数,19910403,100.0,20010702
40,399139.SZ,医药生物指数,SZSE,深交所,综合指数,19910403,100.0,20010702
41,399140.SZ,水电煤气指数,SZSE,深交所,综合指数,19910403,100.0,20010702
42,399150.SZ,建筑业指数,SZSE,深交所,综合指数,19910403,100.0,20010702
43,399160.SZ,运输仓储指数,SZSE,深交所,综合指数,19910403,100.0,20010702
44,399170.SZ,信息技术指数,SZSE,深交所,综合指数,19910403,100.0,20010702
